Cartório,Qtd. Nascimentos informados por arquivo,Qtd. Casamentos informados por arquivo,Qtd. Óbitos informados por arquivo,Qtd. Nascimentos informados on-line,Qtd. Casamentos informados on-line,Qtd. Óbitos informados on-line,Qtd. Nascimentos informados por outros meios,Qtd. Casamentos informados por outros meios,Qtd. Óbitos informados por outros meios,Qtd. Nascimentos informados pelo SISOBI,Qtd. Casamentos informados pelo SISOBI,Qtd. Óbitos informados pelo SISOBI
5579,0,0,0,226,25,22,0,0,0,0,0,0
5587,21,10,6,61,11,24,0,0,0,0,0,0
5595,0,0,0,5,4,25,0,0,0,0,0,0
5686,80,36,22,248,40,37,0,0,0,0,0,0
5694,2140,295,701,7,12,8,0,0,0,0,0,0
5876,370,27,92,2,0,2,0,0,0,0,0,0
5884,0,0,0,65,8,17,0,0,0,0,0,0
5892,0,0,0,118,41,50,0,0,0,0,0,0
5900,0,0,0,31,0,0,0,0,0,0,0,0
5918,0,0,0,766,160,167,0,0,0,0,0,0
5926,0,0,0,442,49,78,0,0,0,0,0,0
5934,0,0,0,382,39,71,0,0,0,0,0,0
5942,2229,947,566,5,0,2,0,0,0,0,0,0
5983,898,99,2672,6,0,1,0,0,0,0,0,0
5991,0,0,0,15,8,18,0,0,0,0,0,0
6007,96,20,28,35,0,0,0,0,0,0,0,0
6023,48,0,19,0,5,49,0,0,0,0,0,0
6031,0,0,0,310,145,105,0,0,0,0,0,0
6049,0,0,0,19,3,31,0,0,0,0,0,0
6056,1359,662,315,180,27,51,0,0,0,0,0,0
6064,0,0,0,52,20,21,0,0,0,0,0,0
6080,0,0,0,257,79,97,0,0,0,0,0,0
6098,0,0,0,36,7,18,0,0,0,0,0,0
6114,0,0,0,5,0,1,0,0,0,0,0,0
6122,18,0,8,0,0,0,0,0,0,0,0,0
6130,0,0,0,13,0,10,0,0,0,0,0,0
6155,41,4,8,0,0,0,0,0,0,0,0,0
6163,0,0,0,299,84,38,0,0,0,0,0,0
6171,0,0,0,237,29,133,0,0,0,0,0,0
6205,0,0,0,235,64,91,0,0,0,0,0,0
6221,874,637,230,453,4,1,0,0,0,0,0,0
6239,62,57,21,0,0,0,0,0,0,0,0,0
6247,0,0,0,0,0,21,0,0,0,0,0,0
6254,0,0,0,32,8,16,0,0,0,0,0,0
6262,303,47,71,339,52,31,0,0,0,0,0,0
6270,174,21,77,35,9,4,0,0,0,0,0,0
6288,77,21,36,0,0,87,0,0,0,0,0,0
6296,0,0,0,200,1,95,0,0,0,0,0,0
6312,415,100,205,1,17,0,0,0,0,0,0,0
6320,45,42,25,186,44,43,0,0,0,0,0,0
6338,41,10,34,431,92,170,0,0,0,0,0,0
6346,0,0,0,121,11,29,0,0,0,0,0,0
6353,577,135,214,17,2,19,0,0,0,0,0,0
6361,337,44,205,0,0,0,0,0,0,0,0,0
6379,32,14,9,191,37,66,0,0,0,0,0,0
6387,141,48,47,192,0,183,0,0,0,0,0,0
6395,923,224,352,78,20,38,0,0,0,0,0,0
6403,371,110,142,0,0,0,0,0,0,0,0,0
6411,449,117,179,5,0,0,0,0,0,0,0,0
6429,0,0,0,292,28,136,0,0,0,0,0,0
6437,333,65,115,0,0,0,0,0,0,0,0,0
6445,0,0,0,3,0,0,0,0,0,0,0,0
6452,129,67,70,29,8,9,0,0,0,0,0,0
6460,0,0,0,1,0,209,0,0,0,0,0,0
6478,0,0,0,109,60,127,0,0,0,0,0,0
6486,1193,287,440,2,3,0,0,0,0,0,0,0
6502,0,0,0,143,16,89,0,0,0,0,0,0
6510,534,102,197,11,0,1,0,0,0,0,0,0
6528,143,48,68,234,25,118,0,0,0,0,0,0
6536,827,405,242,2,5,12,0,0,0,0,0,0
6544,39,1,167,0,0,332,0,0,0,0,0,0
6551,0,0,0,394,56,218,0,0,0,0,0,0
6569,0,0,0,14,61,136,0,0,0,0,0,0
6577,130,17,63,138,30,60,0,0,0,0,0,0
6585,11,6,15,0,0,0,0,0,0,0,0,0
6593,0,0,0,331,28,168,0,0,0,0,0,0
6601,3978,2160,2099,1,0,0,0,0,0,0,0,0
6627,63,11,30,358,145,169,0,0,0,0,0,0
6635,548,234,223,0,0,0,0,0,0,0,0,0
6650,1164,203,442,0,0,0,0,0,0,0,0,0
6676,844,198,254,1558,499,415,0,0,0,0,0,0
6684,294,107,68,1,1,68,0,0,0,0,0,0
6692,318,141,144,0,0,0,0,0,0,0,0,0
6700,1102,266,449,0,0,0,0,0,0,0,0,0
6718,1530,464,603,2,1,8,0,0,0,0,0,0
6726,5103,1668,1471,0,0,0,0,0,0,0,0,0
6734,2252,834,957,0,0,2,0,0,0,0,0,0
6742,0,0,1,87,1,29,0,0,0,0,0,0
6767,0,0,0,31,1,52,0,0,0,0,0,0
6775,0,0,0,64,2,35,0,0,0,0,0,0
6783,0,0,0,10,0,4,0,0,0,0,0,0
6809,990,408,413,4,0,1,0,0,0,0,0,0
6817,573,151,387,0,0,0,0,0,0,0,0,0
6825,1037,308,275,43,27,29,0,0,0,0,0,0
6833,0,0,0,242,57,160,0,0,0,0,0,0
6841,245,63,95,257,29,45,0,0,0,0,0,0
6858,827,52,525,2,2,0,0,0,0,0,0,0
6866,26,0,2,5,2,1,0,0,0,0,0,0
6874,5537,1670,2476,0,0,0,0,0,0,0,0,0
6908,7716,1925,4796,68,27,3,0,0,0,0,0,0
6916,1985,599,2410,0,0,0,0,0,0,0,0,0
6924,105,36,58,303,119,137,0,0,0,0,0,0
6932,25,66,9,4,12,2,0,0,0,0,0,0
6965,38,0,9,822,132,241,0,0,0,0,0,0
6973,407,91,150,36,23,19,0,0,0,0,0,0
6981,450,120,225,12,4,30,0,0,0,0,0,0
6999,33,17,26,66,15,32,0,0,0,0,0,0
7005,150,22,47,632,97,159,0,0,0,0,0,0
7013,391,100,85,0,0,0,0,0,0,0,0,0
7021,664,187,238,1,5,2,0,0,0,0,0,0
7039,908,180,288,0,0,240,0,0,0,0,0,0
7047,0,0,0,78,6,80,0,0,0,0,0,0
7054,0,0,0,32,23,3,0,0,0,0,0,0
7062,0,0,0,12,4,0,0,0,0,0,0,0
7088,0,0,0,131,29,48,0,0,0,0,0,0
7096,163,71,58,0,0,0,0,0,0,0,0,0
7104,472,120,102,0,0,0,0,0,0,0,0,0
7120,165,6,3,0,23,0,0,0,0,0,0,0
7146,0,0,0,50,7,24,0,0,0,0,0,0
7153,0,0,0,50,0,1,0,0,0,0,0,0
7161,2855,1942,1368,0,0,0,0,0,0,0,0,0
7179,298,233,334,1,0,0,0,0,0,0,0,0
7187,1393,1483,483,2,0,1,0,0,0,0,0,0
7195,10681,4539,7896,0,0,0,0,0,0,0,0,6511
