"co_ibge";"uf";"cidade";"bcg";"hepatiteb";"polio";"tetravalente";"rotavirus";"mes";"ano"
"120001";"AC";"Acrelândia";"24";"";"154";"";"186";"12";"2017"
"120005";"AC";"Assis Brasil";"181";"";"118";"";"112";"12";"2017"
"120010";"AC";"Brasiléia";"433";"";"411";"";"446";"12";"2017"
"120013";"AC";"Bujari";"179";"";"55";"";"57";"12";"2017"
"120017";"AC";"Capixaba";"13";"";"148";"";"160";"12";"2017"
"120020";"AC";"Cruzeiro do Sul";"1404";"";"1160";"";"1235";"12";"2017"
"120025";"AC";"Epitaciolândia";"242";"";"257";"";"259";"12";"2017"
"120030";"AC";"Feijó";"685";"";"476";"";"509";"12";"2017"
"120032";"AC";"Jordão";"243";"";"238";"";"232";"12";"2017"
"120033";"AC";"Mâncio Lima";"456";"";"271";"";"286";"12";"2017"
"120034";"AC";"Manoel Urbano";"135";"";"195";"";"196";"12";"2017"
"120035";"AC";"Marechal Thaumaturgo";"373";"";"298";"";"307";"12";"2017"
"120038";"AC";"Plácido de Castro";"36";"";"218";"";"236";"12";"2017"
"120080";"AC";"Porto Acre";"7";"";"221";"";"222";"12";"2017"
"120039";"AC";"Porto Walter";"305";"";"218";"";"235";"12";"2017"
"120040";"AC";"Rio Branco";"8713";"";"5274";"";"5381";"12";"2017"
"120042";"AC";"Rodrigues Alves";"357";"";"130";"";"131";"12";"2017"
"120043";"AC";"Santa Rosa do Purus";"149";"";"126";"";"124";"12";"2017"
"120045";"AC";"Senador Guiomard";"22";"";"293";"";"243";"12";"2017"
"120050";"AC";"Sena Madureira";"663";"";"551";"";"588";"12";"2017"
"120060";"AC";"Tarauacá";"1466";"";"906";"";"778";"12";"2017"
"120070";"AC";"Xapuri";"89";"";"307";"";"285";"12";"2017"
"270010";"AL";"Água Branca";"276";"";"254";"";"220";"12";"2017"
"270020";"AL";"Anadia";"207";"";"198";"";"202";"12";"2017"
"270030";"AL";"Arapiraca";"3743";"";"3525";"";"3620";"12";"2017"
"270040";"AL";"Atalaia";"623";"";"622";"";"644";"12";"2017"
"270050";"AL";"Barra de Santo Antônio";"252";"";"252";"";"274";"12";"2017"
"270060";"AL";"Barra de São Miguel";"159";"";"158";"";"161";"12";"2017"
"270070";"AL";"Batalha";"273";"";"343";"";"337";"12";"2017"
"270080";"AL";"Belém";"76";"";"76";"";"88";"12";"2017"
"270090";"AL";"Belo Monte";"93";"";"111";"";"116";"12";"2017"
"270100";"AL";"Boca da Mata";"447";"";"337";"";"316";"12";"2017"
"270110";"AL";"Branquinha";"205";"";"127";"";"175";"12";"2017"
"270120";"AL";"Cacimbinhas";"49";"";"137";"";"134";"12";"2017"
"270130";"AL";"Cajueiro";"428";"";"364";"";"344";"12";"2017"
"270135";"AL";"Campestre";"106";"";"94";"";"94";"12";"2017"
"270140";"AL";"Campo Alegre";"554";"";"554";"";"501";"12";"2017"
"270150";"AL";"Campo Grande";"23";"";"108";"";"114";"12";"2017"
"270160";"AL";"Canapi";"182";"";"226";"";"196";"12";"2017"
"270170";"AL";"Capela";"170";"";"198";"";"168";"12";"2017"
"270180";"AL";"Carneiros";"179";"";"124";"";"129";"12";"2017"
"270190";"AL";"Chã Preta";"108";"";"87";"";"98";"12";"2017"
"270200";"AL";"Coité do Nóia";"128";"";"73";"";"70";"12";"2017"
"270210";"AL";"Colônia Leopoldina";"194";"";"296";"";"284";"12";"2017"
"270220";"AL";"Coqueiro Seco";"86";"";"93";"";"89";"12";"2017"
"270230";"AL";"Coruripe";"790";"";"785";"";"760";"12";"2017"
"270235";"AL";"Craíbas";"371";"";"439";"";"405";"12";"2017"
"270240";"AL";"Delmiro Gouveia";"757";"";"831";"";"709";"12";"2017"
"270250";"AL";"Dois Riachos";"162";"";"155";"";"152";"12";"2017"
"270255";"AL";"Estrela de Alagoas";"135";"";"164";"";"163";"12";"2017"
"270260";"AL";"Feira Grande";"315";"";"247";"";"271";"12";"2017"
"270270";"AL";"Feliz Deserto";"81";"";"92";"";"66";"12";"2017"
"270280";"AL";"Flexeiras";"238";"";"192";"";"189";"12";"2017"
"270290";"AL";"Girau do Ponciano";"527";"";"392";"";"386";"12";"2017"
"270300";"AL";"Ibateguara";"458";"";"274";"";"235";"12";"2017"
"270310";"AL";"Igaci";"166";"";"388";"";"433";"12";"2017"
"270320";"AL";"Igreja Nova";"227";"";"354";"";"370";"12";"2017"
"270330";"AL";"Inhapi";"195";"";"207";"";"228";"12";"2017"
"270340";"AL";"Jacaré dos Homens";"99";"";"84";"";"95";"12";"2017"
"270350";"AL";"Jacuípe";"61";"";"82";"";"90";"12";"2017"
"270360";"AL";"Japaratinga";"151";"";"177";"";"181";"12";"2017"
"270370";"AL";"Jaramataia";"120";"";"109";"";"126";"12";"2017"
"270375";"AL";"Jequiá da Praia";"154";"";"137";"";"128";"12";"2017"
"270380";"AL";"Joaquim Gomes";"452";"";"335";"";"300";"12";"2017"
"270390";"AL";"Jundiá";"30";"";"57";"";"46";"12";"2017"
"270400";"AL";"Junqueiro";"366";"";"322";"";"304";"12";"2017"
"270410";"AL";"Lagoa da Canoa";"340";"";"278";"";"285";"12";"2017"
"270420";"AL";"Limoeiro de Anadia";"324";"";"269";"";"259";"12";"2017"
"270430";"AL";"Maceió";"19715";"";"9943";"";"10028";"12";"2017"
"270440";"AL";"Major Isidoro";"286";"";"192";"";"201";"12";"2017"
"270450";"AL";"Maragogi";"677";"";"456";"";"589";"12";"2017"
"270460";"AL";"Maravilha";"130";"";"119";"";"97";"12";"2017"
"270470";"AL";"Marechal Deodoro";"731";"";"507";"";"531";"12";"2017"
"270480";"AL";"Maribondo";"116";"";"160";"";"154";"12";"2017"
"270490";"AL";"Mar Vermelho";"23";"";"29";"";"17";"12";"2017"
"270500";"AL";"Mata Grande";"381";"";"274";"";"296";"12";"2017"
"270510";"AL";"Matriz de Camaragibe";"405";"";"356";"";"336";"12";"2017"
"270520";"AL";"Messias";"282";"";"217";"";"262";"12";"2017"
"270530";"AL";"Minador do Negrão";"36";"";"70";"";"68";"12";"2017"
"270540";"AL";"Monteirópolis";"152";"";"116";"";"129";"12";"2017"
"270550";"AL";"Murici";"473";"";"459";"";"501";"12";"2017"
"270560";"AL";"Novo Lino";"135";"";"145";"";"135";"12";"2017"
"270570";"AL";"Olho d'Água das Flores";"416";"";"260";"";"278";"12";"2017"
"270580";"AL";"Olho d'Água do Casado";"113";"";"155";"";"135";"12";"2017"
"270590";"AL";"Olho d'Água Grande";"65";"";"77";"";"70";"12";"2017"
"270600";"AL";"Olivença";"254";"";"160";"";"166";"12";"2017"
"270610";"AL";"Ouro Branco";"178";"";"192";"";"152";"12";"2017"
"270620";"AL";"Palestina";"91";"";"90";"";"73";"12";"2017"
"270630";"AL";"Palmeira dos Índios";"1578";"";"1103";"";"1252";"12";"2017"
"270640";"AL";"Pão de Açúcar";"425";"";"371";"";"381";"12";"2017"
"270642";"AL";"Pariconha";"122";"";"166";"";"144";"12";"2017"
"270644";"AL";"Paripueira";"263";"";"208";"";"242";"12";"2017"
"270650";"AL";"Passo de Camaragibe";"325";"";"233";"";"257";"12";"2017"
"270660";"AL";"Paulo Jacinto";"109";"";"105";"";"119";"12";"2017"
"270670";"AL";"Penedo";"1040";"";"859";"";"894";"12";"2017"
"270680";"AL";"Piaçabuçu";"285";"";"224";"";"260";"12";"2017"
"270690";"AL";"Pilar";"576";"";"595";"";"532";"12";"2017"
"270700";"AL";"Pindoba";"40";"";"34";"";"33";"12";"2017"
"270710";"AL";"Piranhas";"380";"";"374";"";"352";"12";"2017"
"270720";"AL";"Poço das Trincheiras";"174";"";"186";"";"172";"12";"2017"
"270730";"AL";"Porto Calvo";"379";"";"332";"";"380";"12";"2017"
"270740";"AL";"Porto de Pedras";"157";"";"69";"";"131";"12";"2017"
"270750";"AL";"Porto Real do Colégio";"254";"";"328";"";"286";"12";"2017"
"270760";"AL";"Quebrangulo";"181";"";"222";"";"206";"12";"2017"
"270770";"AL";"Rio Largo";"1494";"";"973";"";"1011";"12";"2017"
"270780";"AL";"Roteiro";"134";"";"132";"";"135";"12";"2017"
"270790";"AL";"Santa Luzia do Norte";"90";"";"130";"";"83";"12";"2017"
"270800";"AL";"Santana do Ipanema";"1057";"";"582";"";"631";"12";"2017"
"270810";"AL";"Santana do Mundaú";"142";"";"162";"";"127";"12";"2017"
"270820";"AL";"São Brás";"105";"";"98";"";"81";"12";"2017"
"270830";"AL";"São José da Laje";"514";"";"286";"";"300";"12";"2017"
"270840";"AL";"São José da Tapera";"545";"";"439";"";"455";"12";"2017"
"270850";"AL";"São Luís do Quitunde";"555";"";"515";"";"494";"12";"2017"
"270860";"AL";"São Miguel dos Campos";"1025";"";"956";"";"924";"12";"2017"
"270870";"AL";"São Miguel dos Milagres";"181";"";"108";"";"113";"12";"2017"
"270880";"AL";"São Sebastião";"472";"";"535";"";"590";"12";"2017"
"270890";"AL";"Satuba";"212";"";"176";"";"231";"12";"2017"
"270895";"AL";"Senador Rui Palmeira";"254";"";"202";"";"183";"12";"2017"
"270900";"AL";"Tanque d'Arca";"69";"";"47";"";"72";"12";"2017"
"270910";"AL";"Taquarana";"343";"";"244";"";"300";"12";"2017"
"270915";"AL";"Teotônio Vilela";"863";"";"614";"";"655";"12";"2017"
"270920";"AL";"Traipu";"288";"";"231";"";"320";"12";"2017"
"270930";"AL";"União dos Palmares";"626";"";"708";"";"749";"12";"2017"
"270940";"AL";"Viçosa";"457";"";"399";"";"429";"12";"2017"
"130002";"AM";"Alvarães";"285";"";"274";"";"284";"12";"2017"
"130006";"AM";"Amaturá";"260";"";"294";"";"258";"12";"2017"
"130008";"AM";"Anamã";"141";"";"118";"";"123";"12";"2017"
"130010";"AM";"Anori";"274";"";"214";"";"208";"12";"2017"
"130014";"AM";"Apuí";"268";"";"213";"";"229";"12";"2017"
"130020";"AM";"Atalaia do Norte";"403";"";"234";"";"231";"12";"2017"
"130030";"AM";"Autazes";"1115";"";"671";"";"633";"12";"2017"
"130040";"AM";"Barcelos";"382";"";"279";"";"229";"12";"2017"
"130050";"AM";"Barreirinha";"602";"";"678";"";"591";"12";"2017"
"130060";"AM";"Benjamin Constant";"967";"";"713";"";"332";"12";"2017"
"130063";"AM";"Beruri";"438";"";"379";"";"386";"12";"2017"
"130068";"AM";"Boa Vista do Ramos";"293";"";"286";"";"257";"12";"2017"
"130070";"AM";"Boca do Acre";"515";"";"410";"";"406";"12";"2017"
"130080";"AM";"Borba";"764";"";"802";"";"592";"12";"2017"
"130083";"AM";"Caapiranga";"109";"";"121";"";"131";"12";"2017"
"130090";"AM";"Canutama";"187";"";"188";"";"153";"12";"2017"
"130100";"AM";"Carauari";"565";"";"363";"";"366";"12";"2017"
"130110";"AM";"Careiro";"154";"";"437";"";"361";"12";"2017"
"130115";"AM";"Careiro da Várzea";"63";"";"219";"";"186";"12";"2017"
"130120";"AM";"Coari";"1576";"";"906";"";"948";"12";"2017"
"130130";"AM";"Codajás";"405";"";"298";"";"278";"12";"2017"
"130140";"AM";"Eirunepé";"447";"";"396";"";"435";"12";"2017"
"130150";"AM";"Envira";"411";"";"340";"";"294";"12";"2017"
"130160";"AM";"Fonte Boa";"528";"";"321";"";"305";"12";"2017"
"130165";"AM";"Guajará";"45";"";"201";"";"189";"12";"2017"
"130170";"AM";"Humaitá";"959";"";"827";"";"595";"12";"2017"
"130180";"AM";"Ipixuna";"382";"";"250";"";"190";"12";"2017"
"130185";"AM";"Iranduba";"119";"";"832";"";"778";"12";"2017"
"130190";"AM";"Itacoatiara";"1801";"";"1518";"";"1478";"12";"2017"
"130195";"AM";"Itamarati";"190";"";"128";"";"109";"12";"2017"
"130200";"AM";"Itapiranga";"162";"";"165";"";"158";"12";"2017"
"130210";"AM";"Japurá";"139";"";"141";"";"138";"12";"2017"
"130220";"AM";"Juruá";"207";"";"120";"";"132";"12";"2017"
"130230";"AM";"Jutaí";"636";"";"358";"";"402";"12";"2017"
"130240";"AM";"Lábrea";"601";"";"431";"";"453";"12";"2017"
"130250";"AM";"Manacapuru";"495";"";"979";"";"941";"12";"2017"
"130255";"AM";"Manaquiri";"168";"";"264";"";"264";"12";"2017"
"130260";"AM";"Manaus";"41507";"";"31134";"";"32114";"12";"2017"
"130270";"AM";"Manicoré";"859";"";"764";"";"647";"12";"2017"
"130280";"AM";"Maraã";"307";"";"223";"";"185";"12";"2017"
"130290";"AM";"Maués";"1380";"";"700";"";"658";"12";"2017"
"130300";"AM";"Nhamundá";"339";"";"269";"";"230";"12";"2017"
"130310";"AM";"Nova Olinda do Norte";"756";"";"406";"";"309";"12";"2017"
"130320";"AM";"Novo Airão";"246";"";"181";"";"194";"12";"2017"
"130330";"AM";"Novo Aripuanã";"50";"";"25";"";"16";"12";"2017"
"130340";"AM";"Parintins";"2277";"";"1768";"";"1693";"12";"2017"
"130350";"AM";"Pauini";"327";"";"244";"";"263";"12";"2017"
"130353";"AM";"Presidente Figueiredo";"191";"";"521";"";"537";"12";"2017"
"130356";"AM";"Rio Preto da Eva";"105";"";"301";"";"354";"12";"2017"
"130360";"AM";"Santa Isabel do Rio Negro";"265";"";"229";"";"194";"12";"2017"
"130370";"AM";"Santo Antônio do Içá";"974";"";"572";"";"426";"12";"2017"
"130380";"AM";"São Gabriel da Cachoeira";"1621";"";"817";"";"759";"12";"2017"
"130390";"AM";"São Paulo de Olivença";"1081";"";"863";"";"795";"12";"2017"
"130395";"AM";"São Sebastião do Uatumã";"124";"";"99";"";"127";"12";"2017"
"130400";"AM";"Silves";"181";"";"159";"";"180";"12";"2017"
"130406";"AM";"Tabatinga";"2116";"";"1463";"";"1384";"12";"2017"
"130410";"AM";"Tapauá";"347";"";"301";"";"261";"12";"2017"
"130420";"AM";"Tefé";"1956";"";"1611";"";"1254";"12";"2017"
"130423";"AM";"Tonantins";"489";"";"390";"";"206";"12";"2017"
"130426";"AM";"Uarini";"259";"";"125";"";"105";"12";"2017"
"130430";"AM";"Urucará";"278";"";"253";"";"267";"12";"2017"
"130440";"AM";"Urucurituba";"220";"";"217";"";"226";"12";"2017"
"160010";"AP";"Amapá";"76";"";"80";"";"79";"12";"2017"
"160020";"AP";"Calçoene";"168";"";"150";"";"200";"12";"2017"
"160021";"AP";"Cutias";"59";"";"98";"";"85";"12";"2017"
"160023";"AP";"Ferreira Gomes";"61";"";"153";"";"164";"12";"2017"
"160025";"AP";"Itaubal";"25";"";"72";"";"82";"12";"2017"
"160027";"AP";"Laranjal do Jari";"1082";"";"742";"";"830";"12";"2017"
"160030";"AP";"Macapá";"10673";"";"5844";"";"6594";"12";"2017"
"160040";"AP";"Mazagão";"125";"";"206";"";"232";"12";"2017"
"160050";"AP";"Oiapoque";"417";"";"315";"";"306";"12";"2017"
"160015";"AP";"Pedra Branca do Amapari";"196";"";"155";"";"184";"12";"2017"
"160053";"AP";"Porto Grande";"131";"";"243";"";"283";"12";"2017"
"160055";"AP";"Pracuúba";"30";"";"54";"";"59";"12";"2017"
"160060";"AP";"Santana";"1953";"";"1456";"";"1564";"12";"2017"
"160005";"AP";"Serra do Navio";"45";"";"84";"";"91";"12";"2017"
"160070";"AP";"Tartarugalzinho";"333";"";"301";"";"335";"12";"2017"
"160080";"AP";"Vitória do Jari";"261";"";"193";"";"215";"12";"2017"
"290010";"BA";"Abaíra";"37";"";"48";"";"49";"12";"2017"
"290020";"BA";"Abaré";"107";"";"247";"";"283";"12";"2017"
"290030";"BA";"Acajutiba";"38";"";"104";"";"85";"12";"2017"
"290035";"BA";"Adustina";"118";"";"123";"";"104";"12";"2017"
"290040";"BA";"Água Fria";"156";"";"197";"";"197";"12";"2017"
"290060";"BA";"Aiquara";"65";"";"36";"";"24";"12";"2017"
"290070";"BA";"Alagoinhas";"714";"";"1054";"";"904";"12";"2017"
"290080";"BA";"Alcobaça";"165";"";"118";"";"107";"12";"2017"
"290090";"BA";"Almadina";"60";"";"43";"";"43";"12";"2017"
"290100";"BA";"Amargosa";"327";"";"417";"";"420";"12";"2017"
"290110";"BA";"Amélia Rodrigues";"134";"";"181";"";"156";"12";"2017"
"290115";"BA";"América Dourada";"245";"";"218";"";"225";"12";"2017"
"290120";"BA";"Anagé";"39";"";"169";"";"175";"12";"2017"
"290130";"BA";"Andaraí";"82";"";"121";"";"127";"12";"2017"
"290135";"BA";"Andorinha";"24";"";"52";"";"45";"12";"2017"
"290140";"BA";"Angical";"12";"";"193";"";"163";"12";"2017"
"290150";"BA";"Anguera";"92";"";"57";"";"72";"12";"2017"
"290160";"BA";"Antas";"158";"";"102";"";"105";"12";"2017"
"290170";"BA";"Antônio Cardoso";"107";"";"156";"";"140";"12";"2017"
"290180";"BA";"Antônio Gonçalves";"39";"";"43";"";"38";"12";"2017"
"290190";"BA";"Aporá";"60";"";"161";"";"139";"12";"2017"
"290195";"BA";"Apuarema";"30";"";"57";"";"47";"12";"2017"
"290205";"BA";"Araças";"86";"";"127";"";"139";"12";"2017"
"290200";"BA";"Aracatu";"126";"";"124";"";"136";"12";"2017"
"290210";"BA";"Araci";"415";"";"225";"";"254";"12";"2017"
"290220";"BA";"Aramari";"14";"";"49";"";"37";"12";"2017"
"290225";"BA";"Arataca";"65";"";"62";"";"55";"12";"2017"
"290230";"BA";"Aratuípe";"56";"";"91";"";"71";"12";"2017"
"290240";"BA";"Aurelino Leal";"140";"";"121";"";"124";"12";"2017"
"290250";"BA";"Baianópolis";"36";"";"159";"";"135";"12";"2017"
"290260";"BA";"Baixa Grande";"125";"";"154";"";"126";"12";"2017"
"290265";"BA";"Banzaê";"80";"";"174";"";"183";"12";"2017"
"290270";"BA";"Barra";"1001";"";"819";"";"775";"12";"2017"
"290280";"BA";"Barra da Estiva";"167";"";"340";"";"328";"12";"2017"
"290290";"BA";"Barra do Choça";"334";"";"561";"";"659";"12";"2017"
"290300";"BA";"Barra do Mendes";"203";"";"181";"";"173";"12";"2017"
"290310";"BA";"Barra do Rocha";"32";"";"24";"";"26";"12";"2017"
"290320";"BA";"Barreiras";"3906";"";"1763";"";"1892";"12";"2017"
"290323";"BA";"Barro Alto";"176";"";"121";"";"112";"12";"2017"
"290327";"BA";"Barrocas";"219";"";"196";"";"206";"12";"2017"
"290330";"BA";"Barro Preto";"75";"";"91";"";"81";"12";"2017"
"290340";"BA";"Belmonte";"202";"";"163";"";"135";"12";"2017"
"290350";"BA";"Belo Campo";"209";"";"216";"";"193";"12";"2017"
"290360";"BA";"Biritinga";"50";"";"79";"";"54";"12";"2017"
"290370";"BA";"Boa Nova";"79";"";"158";"";"161";"12";"2017"
"290380";"BA";"Boa Vista do Tupim";"99";"";"149";"";"142";"12";"2017"
"290390";"BA";"Bom Jesus da Lapa";"1377";"";"857";"";"750";"12";"2017"
"290395";"BA";"Bom Jesus da Serra";"105";"";"119";"";"113";"12";"2017"
"290400";"BA";"Boninal";"125";"";"121";"";"130";"12";"2017"
"290405";"BA";"Bonito";"160";"";"217";"";"218";"12";"2017"
"290410";"BA";"Boquira";"228";"";"257";"";"219";"12";"2017"
"290420";"BA";"Botuporã";"93";"";"108";"";"87";"12";"2017"
"290430";"BA";"Brejões";"120";"";"115";"";"90";"12";"2017"
"290440";"BA";"Brejolândia";"66";"";"46";"";"47";"12";"2017"
"290450";"BA";"Brotas de Macaúbas";"128";"";"136";"";"135";"12";"2017"
"290460";"BA";"Brumado";"889";"";"696";"";"727";"12";"2017"
"290470";"BA";"Buerarema";"97";"";"191";"";"142";"12";"2017"
"290475";"BA";"Buritirama";"430";"";"342";"";"317";"12";"2017"
"290480";"BA";"Caatiba";"20";"";"60";"";"58";"12";"2017"
"290485";"BA";"Cabaceiras do Paraguaçu";"43";"";"96";"";"116";"12";"2017"
"290490";"BA";"Cachoeira";"196";"";"258";"";"242";"12";"2017"
"290500";"BA";"Caculé";"270";"";"254";"";"259";"12";"2017"
"290510";"BA";"Caém";"143";"";"94";"";"100";"12";"2017"
"290515";"BA";"Caetanos";"12";"";"110";"";"93";"12";"2017"
"290520";"BA";"Caetité";"516";"";"535";"";"543";"12";"2017"
"290530";"BA";"Cafarnaum";"250";"";"227";"";"231";"12";"2017"
"290540";"BA";"Cairu";"80";"";"151";"";"143";"12";"2017"
"290550";"BA";"Caldeirão Grande";"193";"";"173";"";"174";"12";"2017"
"290560";"BA";"Camacan";"339";"";"277";"";"271";"12";"2017"
"290570";"BA";"Camaçari";"3744";"";"3106";"";"2835";"12";"2017"
"290580";"BA";"Camamu";"445";"";"388";"";"335";"12";"2017"
"290590";"BA";"Campo Alegre de Lourdes";"313";"";"353";"";"293";"12";"2017"
"290600";"BA";"Campo Formoso";"1036";"";"571";"";"655";"12";"2017"
"290610";"BA";"Canápolis";"178";"";"154";"";"167";"12";"2017"
"290620";"BA";"Canarana";"368";"";"327";"";"301";"12";"2017"
"290630";"BA";"Canavieiras";"254";"";"307";"";"312";"12";"2017"
"290640";"BA";"Candeal";"82";"";"93";"";"87";"12";"2017"
"290650";"BA";"Candeias";"2067";"";"1507";"";"1683";"12";"2017"
"290660";"BA";"Candiba";"110";"";"140";"";"143";"12";"2017"
"290670";"BA";"Cândido Sales";"181";"";"287";"";"265";"12";"2017"
"290680";"BA";"Cansanção";"447";"";"396";"";"380";"12";"2017"
"290682";"BA";"Canudos";"161";"";"152";"";"161";"12";"2017"
"290685";"BA";"Capela do Alto Alegre";"105";"";"62";"";"63";"12";"2017"
"290687";"BA";"Capim Grosso";"708";"";"366";"";"346";"12";"2017"
"290689";"BA";"Caraíbas";"12";"";"51";"";"56";"12";"2017"
"290690";"BA";"Caravelas";"138";"";"180";"";"128";"12";"2017"
"290700";"BA";"Cardeal da Silva";"49";"";"76";"";"91";"12";"2017"
"290710";"BA";"Carinhanha";"343";"";"358";"";"347";"12";"2017"
"290720";"BA";"Casa Nova";"578";"";"590";"";"505";"12";"2017"
"290730";"BA";"Castro Alves";"340";"";"174";"";"148";"12";"2017"
"290740";"BA";"Catolândia";"37";"";"42";"";"40";"12";"2017"
"290750";"BA";"Catu";"378";"";"579";"";"552";"12";"2017"
"290755";"BA";"Caturama";"81";"";"88";"";"75";"12";"2017"
"290760";"BA";"Central";"183";"";"77";"";"84";"12";"2017"
"290770";"BA";"Chorrochó";"12";"";"23";"";"24";"12";"2017"
"290780";"BA";"Cícero Dantas";"175";"";"218";"";"196";"12";"2017"
"290790";"BA";"Cipó";"133";"";"202";"";"203";"12";"2017"
"290800";"BA";"Coaraci";"148";"";"187";"";"160";"12";"2017"
"290810";"BA";"Cocos";"160";"";"94";"";"108";"12";"2017"
"290820";"BA";"Conceição da Feira";"62";"";"139";"";"129";"12";"2017"
"290830";"BA";"Conceição do Almeida";"59";"";"127";"";"110";"12";"2017"
"290840";"BA";"Conceição do Coité";"992";"";"787";"";"714";"12";"2017"
"290850";"BA";"Conceição do Jacuípe";"353";"";"256";"";"254";"12";"2017"
"290860";"BA";"Conde";"129";"";"257";"";"242";"12";"2017"
"290870";"BA";"Condeúba";"70";"";"198";"";"160";"12";"2017"
"290880";"BA";"Contendas do Sincorá";"29";"";"37";"";"35";"12";"2017"
"290890";"BA";"Coração de Maria";"245";"";"271";"";"267";"12";"2017"
"290900";"BA";"Cordeiros";"22";"";"58";"";"65";"12";"2017"
"290910";"BA";"Coribe";"157";"";"169";"";"165";"12";"2017"
"290920";"BA";"Coronel João Sá";"12";"";"116";"";"43";"12";"2017"
"290930";"BA";"Correntina";"414";"";"434";"";"396";"12";"2017"
"290940";"BA";"Cotegipe";"25";"";"164";"";"153";"12";"2017"
"290950";"BA";"Cravolândia";"51";"";"55";"";"56";"12";"2017"
"290960";"BA";"Crisópolis";"72";"";"167";"";"137";"12";"2017"
"290970";"BA";"Cristópolis";"31";"";"155";"";"150";"12";"2017"
"290980";"BA";"Cruz das Almas";"964";"";"607";"";"579";"12";"2017"
"290990";"BA";"Curaçá";"191";"";"423";"";"462";"12";"2017"
"291000";"BA";"Dário Meira";"7";"";"15";"";"9";"12";"2017"
"291005";"BA";"Dias d'Ávila";"939";"";"674";"";"607";"12";"2017"
"291010";"BA";"Dom Basílio";"200";"";"140";"";"149";"12";"2017"
"291020";"BA";"Dom Macedo Costa";"5";"";"47";"";"42";"12";"2017"
"291030";"BA";"Elísio Medrado";"90";"";"82";"";"78";"12";"2017"
"291040";"BA";"Encruzilhada";"144";"";"258";"";"251";"12";"2017"
"291050";"BA";"Entre Rios";"453";"";"517";"";"471";"12";"2017"
"290050";"BA";"Érico Cardoso";"120";"";"101";"";"98";"12";"2017"
"291060";"BA";"Esplanada";"444";"";"317";"";"313";"12";"2017"
"291070";"BA";"Euclides da Cunha";"737";"";"700";"";"657";"12";"2017"
"291072";"BA";"Eunápolis";"1997";"";"1595";"";"1473";"12";"2017"
"291075";"BA";"Fátima";"158";"";"152";"";"150";"12";"2017"
"291077";"BA";"Feira da Mata";"43";"";"39";"";"52";"12";"2017"
"291080";"BA";"Feira de Santana";"10054";"";"6780";"";"6633";"12";"2017"
"291085";"BA";"Filadélfia";"239";"";"176";"";"177";"12";"2017"
"291090";"BA";"Firmino Alves";"26";"";"12";"";"18";"12";"2017"
"291100";"BA";"Floresta Azul";"78";"";"83";"";"93";"12";"2017"
"291110";"BA";"Formosa do Rio Preto";"276";"";"325";"";"277";"12";"2017"
"291120";"BA";"Gandu";"211";"";"130";"";"161";"12";"2017"
"291125";"BA";"Gavião";"38";"";"51";"";"45";"12";"2017"
"291130";"BA";"Gentio do Ouro";"25";"";"27";"";"27";"12";"2017"
"291140";"BA";"Glória";"55";"";"194";"";"220";"12";"2017"
"291150";"BA";"Gongogi";"4";"";"30";"";"20";"12";"2017"
"291160";"BA";"Governador Mangabeira";"156";"";"213";"";"204";"12";"2017"
"291165";"BA";"Guajeru";"70";"";"71";"";"56";"12";"2017"
"291170";"BA";"Guanambi";"1695";"";"946";"";"966";"12";"2017"
"291180";"BA";"Guaratinga";"68";"";"112";"";"115";"12";"2017"
"291185";"BA";"Heliópolis";"52";"";"79";"";"96";"12";"2017"
"291190";"BA";"Iaçu";"336";"";"241";"";"233";"12";"2017"
"291200";"BA";"Ibiassucê";"116";"";"113";"";"106";"12";"2017"
"291210";"BA";"Ibicaraí";"191";"";"219";"";"206";"12";"2017"
"291220";"BA";"Ibicoara";"259";"";"292";"";"283";"12";"2017"
"291230";"BA";"Ibicuí";"10";"";"18";"";"8";"12";"2017"
"291240";"BA";"Ibipeba";"210";"";"215";"";"195";"12";"2017"
"291250";"BA";"Ibipitanga";"107";"";"132";"";"126";"12";"2017"
"291260";"BA";"Ibiquera";"26";"";"42";"";"43";"12";"2017"
"291270";"BA";"Ibirapitanga";"265";"";"252";"";"184";"12";"2017"
"291280";"BA";"Ibirapuã";"24";"";"68";"";"75";"12";"2017"
"291290";"BA";"Ibirataia";"153";"";"198";"";"188";"12";"2017"
"291300";"BA";"Ibitiara";"49";"";"37";"";"48";"12";"2017"
"291310";"BA";"Ibititá";"198";"";"176";"";"148";"12";"2017"
"291320";"BA";"Ibotirama";"416";"";"425";"";"419";"12";"2017"
"291330";"BA";"Ichu";"79";"";"74";"";"70";"12";"2017"
"291340";"BA";"Igaporã";"61";"";"104";"";"120";"12";"2017"
"291345";"BA";"Igrapiúna";"22";"";"18";"";"26";"12";"2017"
"291350";"BA";"Iguaí";"52";"";"42";"";"55";"12";"2017"
"291360";"BA";"Ilhéus";"1061";"";"754";"";"758";"12";"2017"
"291370";"BA";"Inhambupe";"252";"";"401";"";"391";"12";"2017"
"291380";"BA";"Ipecaetá";"104";"";"137";"";"95";"12";"2017"
"291390";"BA";"Ipiaú";"300";"";"211";"";"230";"12";"2017"
"291400";"BA";"Ipirá";"591";"";"431";"";"411";"12";"2017"
"291410";"BA";"Ipupiara";"104";"";"118";"";"120";"12";"2017"
