indicx,no_cidade
"113.88","Capetinga"
"100.51","Buritis"
"107.89","Carmópolis de Minas"
"107.34","Brasília de Minas"
"96.61","Conceição dos Ouros"
"73.68","Cachoeira Dourada"
"73.38","Carmo do Rio Claro"
"109.58","Cabo Verde"
"89.04","Catuji"
"93.42","Buritizeiro"
"164.40","Centralina"
"91.66","Cantagalo"
"108.52","Conceição das Alagoas"
"124.73","Bueno Brandão"
"102.08","Central de Minas"
"87.06","Congonhal"
"127.13","Capitão Enéas"
"103.98","Caxambu"
"100.00","Caranaíba"
"105.67","Caratinga"
"139.34","Conceição de Ipanema"
"112.87","Carneirinho"
"140.00","Catas Altas"
"116.66","Camacho"
"109.37","Canaã"
"57.14","Casa Grande"
"136.55","Conceição do Rio Verde"
"110.98","Carandaí"
"88.00","Cascalho Rico"
"153.33","Chácara"
"85.54","Coimbra"
"99.60","Carlos Chagas"
"100.00","Capinópolis"
"93.61","Cachoeira da Prata"
"120.45","Cônego Marinho"
"136.11","Catas Altas da Noruega"
"127.11","Cana Verde"
"105.12","Brás Pires"
"70.83","Carrancas"
"97.97","Caputira"
"244.18","Comercinho"
"98.84","Cláudio"
"108.33","Catuti"
"104.01","Capelinha"
"136.17","Carmo da Mata"
"90.03","Cambuí"
"115.94","Caparaó"
"84.33","Careaçu"
"117.33","Chapada do Norte"
"110.60","Capitólio"
"113.63","Campanário"
"104.87","Carvalhópolis"
"94.59","Carmésia"
"103.84","Brazópolis"
"135.59","Cipotânea"
"131.70","Conceição da Barra de Minas"
"92.25","Canápolis"
"96.15","Fruta de Leite"
"86.18","Três Barras do Paraná"
"108.29","Tapejara"
"96.84","Boa Ventura"
"119.78","Cabaceiras"
"102.38","Conde"
"71.26","Borborema"
"96.05","Congo"
"150.00","Uniflor"
"103.53","Santa Terezinha de Itaipu"
"118.75","Alto Bela Vista"
"81.96","Araquari"
"96.15","Anita Garibaldi"
"119.14","Serranópolis do Iguaçu"
"107.22","Toledo"
"97.05","Santo Antônio do Caiuá"
"102.40","Verê"
"100.69","Santa Izabel do Oeste"
"96.00","São Manoel do Paraná"
"109.45","São Tomé"
"90.38","São José das Palmeiras"
"106.84","São Jorge do Patrocínio"
"96.67","Sengés"
"112.50","São Jorge d'Oeste"
"112.24","Antônio Carlos"
"98.79","São João do Caiuá"
"106.89","Agronômica"
"85.64","União da Vitória"
"101.92","São Jorge do Ivaí"
"145.65","Santa Amélia"
"160.00","Águas Frias"
"117.20","Santo Antônio da Platina"
"112.13","Vera Cruz"
"99.32","Tenente Ananias"
"89.44","São Jerônimo da Serra"
"111.39","Sabáudia"
"94.39","Terra Boa"
"112.50","Siqueira Campos"
"103.00","Santa Cruz de Monte Castelo"
"114.70","Ventania"
"103.81","Teixeira Soares"
"127.94","Vitorino"
"110.71","Atalanta"
"103.57","São João"
"89.81","Tibagi"
"110.00","São José da Boa Vista"
"219.87","Tunas do Paraná"
"74.22","Igaracy"
"98.29","Agrolândia"
"100.00","Sulina"
"107.69","Santana do Itararé"
"110.66","Saudade do Iguaçu"
"97.95","Terra Rica"
"118.85","Uraí"
"79.82","Alfredo Wagner"
"124.16","Santa Tereza do Oeste"
"105.74","São Carlos do Ivaí"
"105.42","São José dos Pinhais"
"67.07","Tapira"
"112.24","Sarandi"
"54.92","Caraúbas"
"86.48","Arabutã"
"118.18","Santa Fé"
"114.78","Biguaçu"
"95.62","Campos Novos"
"108.00","Jardinópolis"
"92.30","Ipira"
"125.00","Formosa do Sul"
"126.66","Irati"
"157.00","Belém do Brejo do Cruz"
"93.02","Caiçara"
"135.41","Guarujá do Sul"
"118.51","Iomerê"
"125.92","Ermo"
"101.72","Benedito Novo"
"112.50","Dona Emma"
"75.86","Barra Bonita"
"111.11","Ibirama"
"92.30","Ibicaré"
"109.09","Canelinha"
"98.68","Faxinal dos Guedes"
"120.49","Água Branca"
"102.32","Areia de Baraúnas"
"97.69","Alagoa Grande"
"107.01","Barra Velha"
"119.23","Caibi"
"88.27","Canoinhas"
"128.26","Cunha Porã"
"112.90","Brunópolis"
"105.99","Forquilhinha"
"95.04","Itaiópolis"
"111.20","Jacinto Machado"
"154.54","Cunhataí"
"107.63","Braço do Norte"
"100.00","Sítio Novo"
"95.45","Upanema"
"118.49","Bombinhas"
"110.77","Ituporanga"
"116.21","Cordilheira Alta"
"105.33","Itapema"
"117.24","Frei Rogério"
"88.09","Jaborá"
"114.53","Capivari de Baixo"
"97.78","Caçador"
"85.18","Mogeiro"
"135.01","Rio Tinto"
"162.10","Garopaba"
"94.82","Gravatal"
"138.94","Campo Belo do Sul"
"109.24","Balneário Arroio do Silva"
"144.44","Ibiam"
"74.00","Galvão"
"98.12","Criciúma"
"102.59","Corupá"
"132.64","Guabiruba"
"93.37","Fraiburgo"
"120.58","Doutor Pedrinho"
"115.83","Irineópolis"
"71.73","Bocaina do Sul"
"164.00","Cerro Negro"
"114.70","Celso Ramos"
"117.24","Chapadão do Lageado"
"135.89","Botuverá"
"113.48","Balneário Barra do Sul"
"96.40","Capinzal"
"93.02","Campo Erê"
"109.85","Imbuia"
"107.00","Indaial"
"146.15","Bela Vista do Toldo"
"104.95","Coronel Freitas"
"101.80","Jaguaruna"
"112.50","Flor do Sertão"
"94.64","Iporã do Oeste"
"100.65","Concórdia"
"78.29","Imbituba"
"122.29","Ilhota"
"81.20","Curitibanos"
"146.37","Ipumirim"
"121.05","Entre Rios"
"108.26","Garuva"
"127.27","Bom Jesus"
"125.71","Bom Jardim da Serra"
"155.48","Correia Pinto"
"138.46","Ipuaçu"
"108.45","Bom Retiro"
"114.89","Dionísio Cerqueira"
"78.74","Governador Celso Ramos"
"74.48","Descanso"
"106.86","Itapiranga"
"112.97","Campo Alegre"
"151.51","Braço do Trombudo"
"100.87","Balneário Camboriú"
"107.65","Içara"
"88.23","Belmonte"
"106.22","Herval d'Oeste"
"122.22","Imaruí"
"127.77","Bom Jesus do Oeste"
"124.32","Erval Velho"
"98.46","Calmon"
"132.00","Coronel Martins"
"135.58","Brusque"
"96.46","Guaraciaba"
"105.37","Itapoá"
"100.50","Chapecó"
"94.28","Guaramirim"
"100.00","Bandeirante"
"109.58","Gaspar"
"89.08","Cocal do Sul"
"125.49","Guatambú"
"104.54","Grão Pará"
"106.51","Itajaí"
"90.90","Catanduvas"
"105.26","Aurora"
"112.90","Capão Alto"
"104.76","Itá"
"109.43","Caxambu do Sul"
"100.17","Blumenau"
"90.88","Florianópolis"
"98.93","Balneário Gaivota"
"89.31","Camboriú"
"93.62","Jaraguá do Sul"
"102.22","Iraceminha"
"110.28","Irani"
"94.58","Joinville"
"94.01","Quilombo"
"103.70","Planalto Alegre"
"85.41","Leoberto Leal"
"82.14","Painel"
"136.61","São Cristovão do Sul"
"100.00","Rio do Oeste"
"92.70","Maracajá"
"135.13","Salto Veloso"
"115.05","Rio dos Cedros"
"96.51","São João do Sul"
"137.79","Balneário Piçarras"
"117.02","Major Vieira"
"62.06","Lacerdópolis"
"100.00","Peritiba"
"119.87","Presidente Getúlio"
"211.76","Princesa"
"69.86","Saltinho"
"79.41","São Bernardino"
"121.95","Nova Erechim"
"119.23","Monte Castelo"
"101.96","Maravilha"
"114.00","Santa Terezinha"
"83.33","Novo Horizonte"
"137.20","Palma Sola"
"88.46","Laurentino"
"81.81","Santa Cecília"
"62.50","Major Gercino"
"84.84","Pinheiro Preto"
"85.24","São Domingos"
"140.90","Santa Rosa de Lima"
"111.29","Navegantes"
"86.36","Matos Costa"
"116.66","Nova Itaberaba"
"82.00","Riqueza"
"94.66","São Bento do Sul"
"112.65","Lebon Régis"
"158.53","São João do Oeste"
"92.52","Laguna"
"150.00","São Bonifácio"
"103.73","Santo Amaro da Imperatriz"
"110.28","Morro da Fumaça"
"71.95","Meleiro"
"88.91","Joaçaba"
"72.22","Pedras Grandes"
"82.27","Rio das Antas"
"82.42","Otacílio Costa"
"162.50","Santiago do Sul"
"89.65","Ouro Verde"
"113.72","Rio Fortuna"
"116.66","Paulo Lopes"
"104.65","Modelo"
"100.00","Pomerode"
"114.88","Palmitos"
"121.73","Ponte Alta do Norte"
"133.33","Ouro"
"96.55","Rio do Campo"
"111.57","Pouso Redondo"
"83.87","São Carlos"
"115.55","Lindóia do Sul"
"114.66","Salete"
"82.80","Rio Negrinho"
"75.75","Rancho Queimado"
"104.34","São João do Itaperiú"
"124.02","São João Batista"
"132.48","Massaranduba"
"109.37","Santa Rosa do Sul"
"123.52","Santa Helena"
"153.48","Passos Maia"
"80.17","Mondaí"
"109.52","Paial"
"107.31","Praia Grande"
"122.15","Lauro Muller"
"97.64","Mafra"
"153.84","Presidente Castello Branco"
"135.77","Luiz Alves"
"86.36","Jupiá"
"87.27","Romelândia"
"172.22","Rio Rufino"
"104.21","José Boiteux"
"135.00","Paraíso"
"135.71","Marema"
"116.39","Orleans"
"131.48","Piratuba"
"94.01","São Francisco do Sul"
"107.89","Nova Trento"
"108.00","Macieira"
"121.87","Petrolândia"
"110.62","Ponte Serrada"
"128.93","Rio do Sul"
"95.23","Morro Grande"
"112.31","Lontras"
"103.25","Pinhalzinho"
"80.00","Palmeira"
"103.91","Sangão"
"107.81","Porto Belo"
"122.22","Monte Carlo"
"65.00","Santa Terezinha do Progresso"
"165.85","Luzerna"
"113.44","Penha"
"126.08","Ponte Alta"
"101.68","Papanduva"
"54.54","Mirim Doce"
"110.36","Palhoça"
"88.35","Nova Veneza"
"131.81","Presidente Nereu"
"80.00","Lajeado Grande"
"93.81","Porto União"
"119.19","Rodeio"
"101.09","Lages"
"122.53","Passo de Torres"
"113.51","Xavantina"
"102.70","Áurea"
"100.00","Seara"
"96.42","Urupema"
"64.70","Augusto Pestana"
"114.36","São Joaquim"
"132.55","Caibaté"
"107.03","Antônio Prado"
"80.28","Timbé do Sul"
"171.42","Arroio do Padre"
"88.98","Cachoeira do Sul"
"104.65","Trombudo Central"
"112.73","Cacequi"
"117.64","Barão de Cotegipe"
"111.11","Água Santa"
"143.62","Schroeder"
"78.94","Barra do Rio Azul"
"65.00","Almirante Tamandaré do Sul"
"98.78","Alpestre"
"91.66","Araricá"
"105.37","Xaxim"
"151.38","Saudades"
"104.46","Balneário Pinhal"
"106.06","Boa Vista do Incra"
"99.28","Urubici"
"94.11","Vargem Bonita"
"111.71","Sombrio"
"101.28","Ametista do Sul"
"121.87","Treze de Maio"
"95.23","Alto Feliz"
"102.70","Zortéa"
"91.30","Urussanga"
"116.66","Taió"
"133.33","Arroio do Sal"
"161.53","Boa Vista do Sul"
"95.83","Barão do Triunfo"
"73.01","Vargeão"
"83.33","Serra Alta"
"106.25","Tigrinhos"
"96.11","São José"
"78.64","Cachoeirinha"
"134.78","Vargem"
"100.00","Barra do Guarita"
"134.61","Sul Brasil"
"99.33","Siderópolis"
"52.38","União do Oeste"
"98.04","Caçapava do Sul"
"92.53","Xanxerê"
"118.65","Turvo"
"114.63","São Miguel do Oeste"
"96.42","São José do Cerrito"
"146.34","Aratiba"
"81.81","Barão"
"122.22","Barra Funda"
"103.63","Bagé"
"107.05","Timbó"
"91.17","Alegria"
"83.87","Agudo"
"98.51","Barra do Ribeiro"
"71.79","Arambaré"
"104.02","Videira"
"88.03","Três Barras"
"105.55","Bozano"
"133.13","Arroio do Meio"
"108.62","Timbó Grande"
"78.78","Barros Cassal"
"116.39","Aceguá"
"75.36","Amaral Ferrador"
"83.18","Boqueirão do Leão"
"100.00","São Miguel da Boa Vista"
"140.00","Witmarsum"
"104.41","Vitor Meireles"
"95.12","São José do Cedro"
"85.62","São Lourenço do Oeste"
"102.63","Anta Gorda"
"90.47","Boa Vista do Buricá"
"130.15","Bom Princípio"
"99.04","Tangará"
"124.32","Braga"
"93.47","Cacique Doble"
"89.47","Boa Vista do Cadeado"
"87.50","Bom Progresso"
"71.76","Butiá"
"103.70","São Pedro de Alcântara"
"104.01","Bento Gonçalves"
"90.90","Alvorada"
"73.33","André da Rocha"
"98.69","Bom Retiro do Sul"
"88.35","Tubarão"
"106.02","Treze Tílias"
"98.18","Barracão"
"133.84","Vidal Ramos"
"121.62","Treviso"
"76.74","Bossoroca"
"96.96","São Martinho"
"106.25","Bom Jesus"
"129.01","Arroio Grande"
"107.27","Alecrim"
"75.00","Alto Alegre"
"95.94","Alegrete"
"93.33","Benjamin Constant do Sul"
"96.25","Ajuricaba"
"128.57","Brochier"
"108.66","São Ludgero"
"131.81","Tunápolis"
"116.49","Arvorezinha"
"100.00","Arroio do Tigre"
"100.00","Arroio dos Ratos"
"108.69","Boa Vista das Missões"
"101.36","Tijucas"
"66.66","Barra do Quaraí"
"100.00","Coronel Bicaco"
"75.86","Erval Grande"
"86.12","Carlos Barbosa"
"94.76","Camaquã"
"78.37","Esperança do Sul"
"92.18","Faxinal do Soturno"
"89.70","Formigueiro"
"57.57","Camargo"
"110.46","Cruz Alta"
"110.71","Dilermando de Aguiar"
"88.75","Encruzilhada do Sul"
"106.06","Cristal do Sul"
"111.36","Cristal"
"79.41","Colorado"
"91.81","Farroupilha"
"101.96","Dois Irmãos"
"104.87","Cambará do Sul"
"75.00","Forquetinha"
"105.55","Coronel Barros"
"87.75","Condor"
"82.06","Crissiumal"
"70.00","Doutor Ricardo"
"115.62","Cerro Largo"
"110.54","Estrela"
"75.00","Coqueiros do Sul"
"162.06","Ciríaco"
"106.49","Eldorado do Sul"
"76.59","Chiapetta"
"66.66","Capão Bonito do Sul"
"115.96","Charqueadas"
"87.80","Capão do Cipó"
"97.08","Cerro Grande do Sul"
"87.17","Derrubadas"
"78.94","Canudos do Vale"
"88.88","Campestre da Serra"
"90.54","Cidreira"
"102.81","Caxias do Sul"
"84.00","Eugênio de Castro"
"102.30","Flores da Cunha"
"81.39","Campinas do Sul"
"91.50","Encantado"
"111.29","Frederico Westphalen"
"91.22","Garibaldi"
"82.60","Faxinalzinho"
"76.92","Carlos Gomes"
"165.51","Dona Francisca"
"123.80","Dois Lajeados"
"100.00","Dois Irmãos das Missões"
"95.91","Esteio"
"84.25","Capela de Santana"
"96.55","Canoas"
"105.00","Cotiporã"
"77.14","Candiota"
"137.71","Fontoura Xavier"
"100.00","Coxilha"
"131.95","Entre-Ijuís"
"109.09","Chuí"
"66.66","Coronel Pilar"
"96.26","Constantina"
"60.41","Entre Rios do Sul"
"72.72","Dom Pedro de Alcântara"
"123.07","Colinas"
"104.58","Carazinho"
"70.00","Engenho Velho"
"103.39","Canela"
"88.23","Cerrito"
"130.66","Chapada"
"85.36","Erebango"
"72.41","Cerro Grande"
"84.21","Cruzaltense"
"110.00","Erval Seco"
"94.87","Doutor Maurício Cardoso"
"110.22","Catuípe"
"132.55","Caraá"
"104.54","Cerro Branco"
"102.40","Canguçu"
"100.00","Floriano Peixoto"
"77.08","Cruzeiro do Sul"
"78.57","Caiçara"
"110.43","Feliz"
"110.81","David Canabarro"
"84.12","Cândido Godói"
"71.11","Campina das Missões"
"106.16","Capão do Leão"
"58.06","Capitão"
"117.64","Caseiros"
"114.28","Dezesseis de Novembro"
"75.72","Herval"
"93.44","Estação"
"166.66","Esmeralda"
"126.53","Fazenda Vilanova"
"114.56","Dom Pedrito"
"101.12","Estância Velha"
"100.69","Erechim"
"90.90","Centenário"
"109.75","Ernestina"
"117.24","Campo Novo"
"103.92","Capão da Canoa"
"167.74","Capivari do Sul"
"93.75","Chuvisca"
"100.00","Coqueiro Baixo"
"100.00","Espumoso"
"96.07","Charrua"
"97.95","Fortaleza dos Valos"
"78.48","Candelária"
"122.22","Campos Borges"
"98.93","Dom Feliciano"
"106.77","Casca"
"128.57","Fagundes Varela"
"99.74","Campo Bom"
"70.73","Estrela Velha"
"101.56","Liberato Salzano"
"69.13","Nova Bassano"
"59.61","Muçum"
"79.16","Jaboticaba"
"89.76","Mostardas"
"73.33","Inhacorá"
"104.63","Guaíba"
"96.15","Nova Palma"
"116.82","Gramado"
"81.16","Horizontina"
"80.22","Itaqui"
"130.60","Imbé"
"78.37","Harmonia"
"102.00","Nova Prata"
"100.41","Nova Hartz"
"96.42","Jacuizinho"
"96.38","Lavras do Sul"
"91.80","Ivoti"
"73.33","Mariano Moro"
"100.00","Ibirapuitã"
"117.24","Mormaço"
"156.25","Nova Araçá"
"137.50","Maratá"
"100.00","Nova Esperança do Sul"
"121.42","Itatiba do Sul"
"87.50","Nova Bréscia"
"90.00","Nova Santa Rita"
"103.33","Mato Castelhano"
"90.32","Machadinho"
"95.23","Nova Ramada"
"300.00","Montauri"
"105.12","Novo Cabrais"
"106.94","Independência"
"78.82","Nova Petrópolis"
"143.33","Marques de Souza"
"70.00","Marcelino Ramos"
"86.53","Iraí"
"85.36","Jacutinga"
"129.62","Nova Alvorada"
"200.00","Lagoa dos Três Cantos"
"114.41","Guaporé"
"103.44","Muitos Capões"
"91.66","Maçambará"
"111.76","Monte Belo do Sul"
"85.92","Júlio de Castilhos"
"145.83","Ipê"
"136.66","Monte Alegre dos Campos"
"55.81","Ilópolis"
"95.00","Gaurama"
"80.26","Lagoão"
"150.00","Ipiranga do Sul"
"114.89","Morro Reuter"
"81.81","Miraguaí"
"146.66","Gentil"
"124.00","Jaquirana"
"157.14","Getúlio Vargas"
"85.71","Guabiju"
"100.00","Itaara"
"90.29","Jóia"
"139.24","General Câmara"
"95.72","Ijuí"
"98.24","Ibirubá"
"100.00","Lagoa Vermelha"
"113.79","Mariana Pimentel"
"92.00","Itati"
"95.23","Mato Queimado"
"91.42","Mampituba"
"109.09","Imigrante"
"76.47","Ivorá"
"52.17","Nicolau Vergueiro"
"106.25","Ibiaçá"
"88.67","Morro Redondo"
"105.71","Garruchos"
"88.23","Nova Pádua"
"95.65","Lajeado"
"101.29","Manoel Viana"
"81.14","Jaguarão"
"100.00","Gramado dos Loureiros"
"98.09","Jaguari"
"91.38","Montenegro"
"217.24","Ibiraiaras"
"55.81","Lajeado do Bugre"
"102.80","Igrejinha"
"77.77","Humaitá"
"111.59","Glorinha"
"109.09","Jari"
"85.07","Maquiné"
"96.55","Ibarama"
"92.35","Gravataí"
"96.15","Minas do Leão"
"141.66","Nova Roma do Sul"
"128.37","Lindolfo Collor"
"113.63","Guarani das Missões"
"127.58","Mato Leitão"
"93.19","Não-Me-Toque"
"93.75","Maximiliano de Almeida"
"104.69","Marau"
"120.45","Mata"
"111.11","Itacurubi"
"96.42","Nonoai"
"122.22","Linha Nova"
"85.71","Itapuca"
"120.83","Nova Candelária"
"75.86","Lagoa Bonita do Sul"
"100.49","Giruá"
"183.33","Muliterno"
"91.66","Nova Boa Vista"
"194.11","Morrinhos do Sul"
"76.76","Hulha Negra"
"81.96","Gramado Xavier"
"105.12","Herveiras"
"82.53","Redentora"
"104.61","Rodeio Bonito"
"169.69","Pejuçara"
"77.69","Pelotas"
"81.67","Rio Pardo"
"130.00","Santo Expedito do Sul"
"113.29","Portão"
"96.29","Santo Antônio do Planalto"
"154.54","Protásio Alves"
"136.84","Paraí"
"62.06","Pedras Altas"
"96.26","São Francisco de Paula"
"109.21","Roque Gonzales"
"61.11","Novo Xingu"
"94.15","Salto do Jacuí"
"109.09","Rolador"
"59.09","São Jorge"
"66.66","Novo Tiradentes"
"83.52","Santana da Boa Vista"
"90.62","Presidente Lucena"
"153.06","Salvador do Sul"
"101.97","Santa Rosa"
"141.37","Santo Antônio das Missões"
"126.53","Passa Sete"
"97.12","Pinheiro Machado"
"96.69","Osório"
"184.37","Planalto"
"115.00","Poço das Antas"
"91.36","Santa Maria"
"104.49","Santa Bárbara do Sul"
"89.31","Parobé"
"141.02","São José dos Ausentes"
"80.00","São José do Herval"
"90.31","Santiago"
"102.55","Panambi"
"122.85","Quinze de Novembro"
"87.28","Quaraí"
"263.63","Pinhal da Serra"
"132.00","Passo do Sobrado"
"200.00","Porto Vera Cruz"
"96.22","Pontão"
"122.22","Progresso"
"105.55","Porto Lucena"
"91.66","Novo Machado"
"95.13","Santo Augusto"
"78.26","Pirapó"
"190.47","Putinga"
"124.34","Porto Xavier"
"136.36","Saldanha Marinho"
"61.22","São José do Hortêncio"
"111.11","Porto Mauá"
"150.00","São José do Sul"
"110.59","Sananduva"
"97.05","São João da Urtiga"
"108.09","Rolante"
"100.00","Pinhal"
"80.68","Sant'Ana do Livramento"
"138.18","Palmares do Sul"
"56.00","Paulo Bento"
"59.09","Rio dos Índios"
"123.80","Santa Maria do Herval"
"88.88","Quatro Irmãos"
"158.33","Picada Café"
"211.76","Sagrada Família"
"87.81","Palmeira das Missões"
"83.06","Porto Alegre"
"136.36","Santa Cecília do Sul"
"96.55","Pareci Novo"
"76.54","Santa Vitória do Palmar"
"93.05","Paverama"
"96.42","Pedro Osório"
"110.00","Ronda Alta"
"82.85","São José das Missões"
"80.08","Rosário do Sul"
"92.00","Santa Clara do Sul"
"85.71","Santa Margarida do Sul"
"127.27","Santa Tereza"
"100.00","Rondinha"
"96.63","Passo Fundo"
"86.87","Restinga Seca"
"93.57","São Gabriel"
"84.69","São Jerônimo"
"95.83","São José do Ouro"
"98.36","Santa Cruz do Sul"
"130.76","Riozinho"
"76.92","Santo Antônio do Palma"
"96.29","São Domingos do Sul"
"90.47","Palmitinho"
"89.68","Rio Grande"
"96.35","Santo Cristo"
"107.21","Roca Sales"
"96.23","São José do Norte"
"90.00","Pouso Novo"
"89.17","São Borja"
"95.00","Salvador das Missões"
"132.50","Pinheirinho do Vale"
"98.97","Novo Hamburgo"
"124.48","Pantano Grande"
"112.50","Quevedos"
"102.12","Pinhal Grande"
"102.39","Santo Antônio da Patrulha"
"94.87","Paim Filho"
"156.25","São João do Polêsine"
"84.47","Piratini"
"82.35","Ponte Preta"
"88.73","Paraíso do Sul"
"100.00","São Francisco de Assis"
"86.94","Santo Ângelo"
"162.50","Relvado"
"119.44","Novo Barreiro"
"112.50","São José do Inhacorá"
"88.31","Tupanciretã"
"122.92","Veranópolis"
"116.66","Toropi"
"85.71","Travesseiro"
"163.54","Tapejara"
"94.54","Tiradentes do Sul"
"94.89","Seberi"
"88.46","Vista Alegre"
"126.19","Tupandi"
"82.25","Anaurilândia"
"61.19","Sertão Santana"
"78.12","São Martinho da Serra"
"82.35","Sete de Setembro"
"88.81","Taquari"
"70.56","São Sebastião do Caí"
"72.72","Sinimbu"
"98.54","Aparecida do Taboado"
"116.36","Tabaí"
"95.00","Sério"
"121.95","Tucunduva"
"103.35","Água Clara"
"141.37","Vila Maria"
"134.21","Vila Nova do Sul"
"95.27","São Lourenço do Sul"
"131.25","Vanini"
"70.43","Viamão"
"104.61","Vale Real"
"93.45","Amambai"
"109.23","Tuparendi"
"68.33","Sentinela do Sul"
"96.05","Tenente Portela"
"111.90","Viadutos"
"81.37","São Vicente do Sul"
"86.00","Três Palmeiras"
"119.84","Angélica"
"93.37","Bataguassu"
"88.42","Taquara"
"60.00","Vila Lângaro"
"109.09","Sede Nova"
"87.09","São Valentim"
"130.00","Serafina Corrêa"
"81.95","Xangri-lá"
"116.12","Severiano de Almeida"
"89.32","Triunfo"
"126.66","São Martinho"
"105.70","Três Coroas"
"165.78","Alcinópolis"
"72.50","Tavares"
"101.25","Vera Cruz"
"64.81","Turuçu"
"116.66","São Valério do Sul"
"123.60","Aral Moreira"
"71.89","Tapes"
"95.52","Antônio João"
"83.28","Aquidauana"
"125.00","Unistalda"
"100.44","Vacaria"
"91.80","Sobradinho"
"89.97","Torres"
"94.11","Batayporã"
"98.00","Selbach"
"128.57","Westfalia"
"112.76","Tunas"
"107.69","São Valentim do Sul"
"89.21","Terra de Areia"
"92.00","Três de Maio"
"101.62","Venâncio Aires"
"124.19","Sertão"
"79.31","São Pedro do Butiá"
"106.25","São Vendelino"
"100.80","Três Passos"
"108.33","Três Arroios"
"106.86","Tapera"
"89.18","Vale Verde"
"101.07","Vale do Sol"
"78.49","São Miguel das Missões"
"110.92","São Luiz Gonzaga"
"119.68","Uruguaiana"
"121.05","Vicente Dutra"
"96.13","Sarandi"
"114.06","Trindade do Sul"
"110.71","Tio Hugo"
"123.07","Victor Graeff"
"287.50","Ubiretama"
"100.00","União da Serra"
"99.09","Três Cachoeiras"
"130.58","Segredo"
"128.76","Bandeirantes"
"96.19","Anastácio"
"85.71","São Pedro das Missões"
"90.00","Taquaruçu do Sul"
"81.28","São Pedro do Sul"
"120.56","Teutônia"
"66.66","Tupanci do Sul"
"117.39","Vitória das Missões"
"90.90","Três Forquilhas"
"120.83","São Paulo das Missões"
"89.73","Sapiranga"
"133.33","Vespasiano Correa"
"86.66","Vista Alegre do Prata"
"120.89","São Nicolau"
"82.92","São Leopoldo"
"97.29","São Pedro da Serra"
"108.26","Sapucaia do Sul"
"86.34","São Sepé"
"100.00","Vista Gaúcha"
"107.80","Soledade"
"176.47","Vila Flores"
"137.37","Tramandaí"
"120.70","São Marcos"
"77.41","Silveira Martins"
"109.37","Senador Salgado Filho"
"76.22","Carlinda"
"104.28","Nova Andradina"
"116.15","Mundo Novo"
"137.86","Cláudia"
"117.18","Itaporã"
"95.81","Iguatemi"
"105.57","Ladário"
"113.59","Brasnorte"
"104.24","Miranda"
"61.14","Campinápolis"
"100.00","Novo Horizonte do Sul"
"114.91","Glória de Dourados"
"119.45","Terenos"
"110.37","Aripuanã"
"108.58","Colíder"
"91.23","Fátima do Sul"
"73.05","Sete Quedas"
"107.37","Bodoquena"
"72.11","Cáceres"
"197.82","Bom Jesus do Araguaia"
"101.50","Japorã"
"148.00","Araguaiana"
"109.09","Araputanga"
"107.40","Deodápolis"
"90.82","Cuiabá"
"100.84","Sidrolândia"
"116.59","Campo Novo do Parecis"
"116.31","Ponta Porã"
"118.75","Selvíria"
"106.55","Barão de Melgaço"
"96.62","Paranaíba"
"100.64","Água Boa"
"101.37","Campo Grande"
"111.82","Dom Aquino"
"156.89","Rio Negro"
"121.62","Douradina"
"99.57","Dourados"
"119.36","Bonito"
"105.00","Jardim"
"121.27","Chapada dos Guimarães"
"89.36","Taquarussu"
"110.79","Feliz Natal"
"96.30","Três Lagoas"
"122.38","Curvelândia"
"226.00","Alto Boa Vista"
"97.91","São Gabriel do Oeste"
"107.80","Sonora"
"212.82","Gaúcha do Norte"
"92.95","Conquista D'Oeste"
"78.43","Denise"
"75.00","Jaraguari"
"95.38","Vicentina"
"79.49","Barra do Garças"
"98.93","Barra do Bugres"
"94.51","Confresa"
"105.40","Juti"
"119.78","Bela Vista"
"134.14","Alto Garças"
"98.41","Alto Araguaia"
"104.83","Guia Lopes da Laguna"
"94.16","Inocência"
"139.47","Corguinho"
"90.20","Apiacás"
"109.41","Alta Floresta"
"95.01","Naviraí"
"93.84","Comodoro"
"101.36","Cotriguaçu"
"103.42","Rio Brilhante"
"100.85","Colniza"
"102.52","Corumbá"
"83.06","Brasilândia"
"114.41","Laguna Carapã"
"104.62","Ivinhema"
"88.54","Castanheira"
"62.00","General Carneiro"
"121.87","Cocalinho"
"101.53","Maracaju"
"93.05","Canarana"
"77.46","Jateí"
"122.77","Chapadão do Sul"
"106.87","Arenápolis"
"105.73","Ribas do Rio Pardo"
"152.89","Nova Alvorada do Sul"
"103.36","Porto Murtinho"
"146.29","Canabrava do Norte"
"101.85","Campos de Júlio"
"98.44","Coxim"
"122.95","Acorizal"
"106.12","Alto Taquari"
"139.04","Coronel Sapucaia"
"92.98","Pedro Gomes"
"98.21","Diamantino"
"137.12","Paranhos"
"75.43","Figueirópolis D'Oeste"
"98.26","Rio Verde de Mato Grosso"
"92.25","Campo Verde"
"106.95","Caarapó"
"95.71","Camapuã"
"77.92","Dois Irmãos do Buriti"
"96.00","Nioaque"
"111.88","Eldorado"
"163.04","Caracol"
"98.78","Santa Rita do Pardo"
"105.40","Figueirão"
"110.98","Alto Paraguai"
"126.41","Rochedo"
"116.26","Itaquiraí"
"88.98","Tacuru"
"119.31","Costa Rica"
"250.00","Araguainha"
"104.13","Cassilândia"
