"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"330455 RIO DE JANEIRO";"76,73";"82,11";"96,26";"114,69";"98,02";"104,74";"96,57";"94,39";"94,01";"89,69";"91,51";"107,77";"94,66";"108,03";"97,75";"105,75";"113,23";"102,65";"104,92";"99,18";"68,02";"101,52"
"Total";"76,73";"82,11";"96,26";"114,69";"98,02";"104,74";"96,57";"94,39";"94,01";"89,69";"91,51";"107,77";"94,66";"108,03";"97,75";"105,75";"113,23";"102,65";"104,92";"99,18";"68,02";"101,52"
