"Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"330455 RIO DE JANEIRO";"179444";"83953";"99546";"93935";"95202";"105685";"108892";"108835";"149514";"216496";"466594";"161825";"163593";"163632";"211801";"177501";"352184";"413442";"214732";"278194";"204002";"262684";"312699";"383213";"5007598"
"Total";"179444";"83953";"99546";"93935";"95202";"105685";"108892";"108835";"149514";"216496";"466594";"161825";"163593";"163632";"211801";"177501";"352184";"413442";"214732";"278194";"204002";"262684";"312699";"383213";"5007598"
